what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272904671875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272904678734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904685031
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904722218
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904723218
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904737000
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272904737343
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904741921
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272904743031
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904752281
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904752812
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272904753671
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272904839109
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904848140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904853968
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904856140
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904856171
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904856234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904946609
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272904946718
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272904955062
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272904955671
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904958687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272904958906
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904969281
