what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272904264125
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272904265765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272904266234
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1272904272375
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1272904272687
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272904272796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904274546
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904285718
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904286578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904318687
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904322625
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904328468
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272904329875
started,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1272904330765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904335359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904338953
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904343000
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272904347765
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272904352406
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904358546
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272904359687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904361562
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904362578
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904368187
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272904369531
