what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1272910819421
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910820437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910820468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910820515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272911048531
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272911050078
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272911051500
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272911052375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272911052687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272914805531
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272914807218
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272914826390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272914844312
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272914844390
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272914857156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272914859156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921353546
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921359062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921386281
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921388687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921390593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921391437
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921500140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921501828
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272921553093
