what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1272909949156
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909965984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272909973875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272909975515
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272909981968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272909999531
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910001171
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910008984
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1272910013875
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910019046
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272910021359
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272910025156
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910026343
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910029875
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1272910030968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910034593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910039328
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910039359
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910039406
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910059937
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272910061906
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272910066828
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272910068984
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910070046
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910086187
