what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905014703
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272905015937
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905016718
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905035687
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272905038468
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905040984
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905054843
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272905059375
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905060921
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905084093
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272905086078
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272905091375
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272905092734
started,bundle,org.eclipse.gef,3.5.0.v20090528-1511,"org.eclipse.gef",1272905102000
started,bundle,org.eclipse.draw2d,3.5.1.v20090813-1341,"org.eclipse.draw2d",1272905102125
opened,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1272905107921
opened,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1272905108437
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1272905108968
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272905117968
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1272905119593
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1272905120578
closed,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.layout.LayoutEditor",1272905120578
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272905122796
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905125062
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272905930687
