what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.ide,3.5.1.M20090826-0800,"org.eclipse.ui.views.ProblemView",1272910086265
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910088953
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910090421
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272910090437
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1272910092734
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910094421
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910264390
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272910264515
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1272910265640
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1272910273312
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272910287062
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910291531
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910394718
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272910394796
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1272910400609
activated,editor,com.android.ide.eclipse.adt,0.9.5.v200911191123-20404,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1272910407593
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1272910409265
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1272910410187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910413578
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910413593
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910413687
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910803484
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1272910803578
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910805562
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1272910812234
